Roll, Pitch, Yaw
-0.672422,0.15221,-1.3635
-0.671373,0.153352,-1.36112
-0.671665,0.154972,-1.35901
-0.670819,0.15454,-1.36094
-0.667844,0.159993,-1.35152
-0.664416,0.164539,-1.3432
-0.670501,0.160461,-1.34897
-0.670454,0.165051,-1.34212
-0.670272,0.167372,-1.33777
-0.664193,0.16759,-1.33576
-0.665053,0.172887,-1.32966
-0.667201,0.172791,-1.32997
-0.663329,0.177175,-1.3223
-0.664708,0.169544,-1.33377
-0.667334,0.159813,-1.34705
-0.671264,0.156518,-1.35221
-0.669705,0.157906,-1.35042
-0.66374,0.152757,-1.3567
-0.667894,0.155738,-1.35351
-0.66454,0.161074,-1.3439
-0.666187,0.163586,-1.34132
-0.668977,0.169911,-1.3332
-0.670842,0.168535,-1.33598
-0.67248,0.171929,-1.33126
-0.674829,0.163997,-1.34242
-0.667085,0.166856,-1.33485
-0.661148,0.1631,-1.33817
-0.655675,0.163504,-1.33497
-0.656855,0.167767,-1.32888
-0.65794,0.171776,-1.32315
-0.657024,0.167164,-1.32828
-0.662493,0.158902,-1.33983
-0.658709,0.163414,-1.33157
-0.654385,0.166299,-1.32569
-0.653165,0.160625,-1.33366
-0.655867,0.163099,-1.3311
-0.656982,0.161503,-1.334
-0.656661,0.158046,-1.33964
-0.657122,0.154213,-1.3443
-0.659965,0.150588,-1.34971
-0.660824,0.147771,-1.35378
-0.656666,0.151011,-1.34812
-0.651445,0.152129,-1.3443
-0.645037,0.155113,-1.33716
-0.642345,0.161844,-1.32622
-0.646945,0.162904,-1.32667
-0.655892,0.15938,-1.33369
-0.660608,0.158055,-1.33748
-0.662993,0.163243,-1.33262
-0.661539,0.165659,-1.32848
-0.656692,0.164534,-1.32891
-0.654003,0.164841,-1.3276
-0.64926,0.163676,-1.32866
-0.648845,0.160075,-1.33341
-0.646575,0.156696,-1.33735
-0.645718,0.156841,-1.33576
-0.647397,0.154764,-1.3406
-0.642739,0.159557,-1.33116
-0.644161,0.164612,-1.32525
-0.639581,0.162904,-1.32587
-0.643086,0.167165,-1.32111
-0.646538,0.169261,-1.31921
-0.643881,0.171229,-1.31496
-0.65066,0.171122,-1.31668
-0.652095,0.170968,-1.3176
-0.647634,0.177283,-1.30663
-0.650696,0.17286,-1.31478
-0.655446,0.169241,-1.3223
-0.650636,0.167191,-1.32253
-0.655537,0.165304,-1.32642
-0.654733,0.159589,-1.33432
-0.654037,0.154778,-1.34234
-0.653245,0.153561,-1.34395
-0.65633,0.154918,-1.34395
-0.652917,0.160131,-1.33597
-0.652491,0.160626,-1.33446
-0.652642,0.164936,-1.32892
-0.651975,0.161175,-1.33422
-0.653504,0.161593,-1.33409
-0.656361,0.160028,-1.33617
-0.653374,0.160422,-1.33443
-0.655833,0.162742,-1.33174
-0.654496,0.165002,-1.32763
-0.653851,0.167144,-1.32375
-0.651382,0.16723,-1.32216
-0.649534,0.169817,-1.31829
-0.653171,0.177594,-1.30897
-0.652077,0.173127,-1.31485
-0.655378,0.172803,-1.31651
-0.658012,0.166635,-1.32682
-0.657319,0.164215,-1.32929
-0.655984,0.165017,-1.32814
-0.658939,0.160656,-1.33387
-0.653948,0.162426,-1.32778
-0.657201,0.161923,-1.3308
-0.654927,0.160294,-1.33181
-0.651743,0.160747,-1.32976
-0.648662,0.165073,-1.32201
-0.656183,0.166635,-1.32198
-0.654852,0.168114,-1.319
-0.651409,0.168626,-1.31768
-0.652775,0.171345,-1.31253
-0.65027,0.167251,-1.31768
-0.645823,0.163935,-1.32194
-0.649506,0.164161,-1.32263
-0.652785,0.168232,-1.31806
-0.656724,0.16291,-1.32772
-0.647934,0.157297,-1.33421
-0.651498,0.155942,-1.33687
-0.644448,0.1611,-1.32593
-0.644863,0.154207,-1.33687
-0.642716,0.15049,-1.3412
-0.643931,0.151457,-1.34011
